Item SKU,Store,Supplier,Cost per Unit ($),On Hand,Annual Demand
0289,080212,C,219.75,1,10
0289,080212,D,125.78,146,1240
0292,003480,A,471.62,2,21
0292,003480,B,254.13,138,1485
0292,003480,C,269.92,22,215
0292,01611,A,347.41,116,1157
0292,01611,D,582.72,82,783
0292,020109,B,285.30,54,578
0292,031779,B,287.32,91,859
0293,003480,A,389.23,13,111
0293,003480,B,102.46,60,506
0293,003480,D,77.78,128,1286
0293,01611,C,5.85,116,1164
0293,01611,D,573.94,160,1693
0293,031779,B,366.60,69,735
0293,031779,C,68.32,138,1437
030,003480,D,24.72,56,524
030,01611,B,6.11,7,75
030,01611,C,48.62,91,873
030,01611,D,26.58,116,1014
030,020109,A,31.50,109,1155
030,020109,C,55.42,2,19
030,031779,A,15.99,74,783
030,031779,B,27.75,13,122
030,031779,C,22.46,80,790
030,031779,D,5.00,113,1113
030,080212,A,31.46,50,496
030,080212,B,8.45,82,703
0304,003480,B,254.30,12,124
0304,003480,C,403.01,83,875
0304,01611,C,376.63,160,1679
0304,020109,A,121.00,154,1448
0304,020109,B,540.49,35,298
0304,031779,A,417.44,187,1905
0304,031779,B,355.38,98,997
0304,031779,C,589.03,13,127
0307,01611,B,440.42,129,1281
0307,01611,C,321.21,82,827
0307,020109,B,264.64,141,1300
0307,020109,C,56.71,70,627
0307,031779,C,453.90,7,66
0307,080212,B,440.68,184,1660
0307,080212,C,425.66,159,1389
0314,003480,B,332.13,92,980
0314,003480,D,495.45,194,2036
0314,01611,C,289.87,2,19
0314,020109,A,434.62,98,1047
0314,031779,A,166.23,14,144
0314,031779,B,490.24,62,639
0314,031779,C,317.71,88,851
0314,031779,D,489.95,147,1338
0314,080212,A,440.96,92,918
0314,080212,B,192.36,75,800
0314,080212,C,502.31,87,909
0328,003480,A,503.80,49,513
0328,020109,A,161.91,16,152
0328,020109,B,577.88,26,276
0328,020109,C,305.67,179,1798
0328,020109,D,336.37,162,1482
0328,031779,B,216.07,27,255
0328,031779,C,173.58,105,903
0328,080212,C,159.36,159,1569
0331,003480,A,602.28,34,346
0331,01611,B,396.53,193,2022
0331,020109,A,228.93,19,184
0331,020109,B,264.06,28,283
0331,020109,C,43.00,44,395
0331,031779,C,20.66,30,279
0331,080212,B,482.05,61,582
0332,01611,A,569.49,96,1015
0332,01611,B,68.10,184,1933
0332,01611,C,12.17,169,1553
0332,01611,D,19.96,85,894
0332,031779,A,176.19,117,1044
0332,080212,C,81.70,114,996
0346,003480,C,181.85,161,1391
0346,01611,A,297.76,164,1427
0346,020109,A,42.27,183,1783
0346,031779,A,311.77,200,1798
0346,031779,D,571.98,109,1044
0346,080212,A,364.17,136,1429
0346,080212,C,334.08,110,1115
0352,003480,A,626.77,4,42
0352,01611,A,275.06,189,1718
0352,01611,C,221.72,61,643
0352,031779,B,186.52,47,449
0352,080212,A,119.06,7,65
0352,080212,B,658.89,140,1504
0352,080212,C,407.78,83,727
0362,003480,B,572.15,104,1091
0362,003480,C,482.97,64,619
0362,003480,D,593.99,194,1700
0362,020109,B,705.98,50,526
0362,020109,C,179.69,9,87
0362,080212,B,123.63,104,1029
0363,003480,A,274.81,141,1452
0363,003480,B,620.35,82,807
0363,01611,A,336.22,108,1098
0363,031779,B,647.22,80,850
0363,031779,C,107.71,113,1006
0363,080212,B,314.02,147,1417
0363,080212,D,333.53,91,946
0372,003480,B,145.53,163,1471
0372,01611,A,286.30,50,529
0372,01611,D,4.26,113,1032
0372,031779,A,600.78,119,1280
0372,031779,B,259.57,185,1903
0387,003480,A,62.91,10,107
0387,01611,B,368.00,194,1743
0387,020109,A,562.48,31,318
0387,020109,B,528.33,122,1169
0387,031779,B,84.08,2,19
0387,080212,A,449.97,26,278
0387,080212,B,290.66,21,178
0387,080212,C,357.46,12,119
0387,080212,D,271.23,56,557
0392,020109,A,383.41,110,1171
0392,020109,C,75.35,19,196
0392,031779,A,393.11,196,1974
0392,031779,B,54.92,7,59
0392,031779,C,201.81,73,616
0392,031779,D,783.62,88,770
0392,080212,C,266.97,146,1257
0401,003480,A,450.30,26,221
0401,01611,A,599.95,159,1635
0401,01611,C,118.71,161,1409
0401,020109,B,740.19,69,614
0401,031779,A,291.58,89,937
0401,031779,B,637.06,48,446
0401,080212,B,270.00,190,2043
0402,003480,B,481.76,115,1035
0402,003480,D,735.97,118,1270
0402,01611,C,427.81,187,1901
0402,020109,C,253.48,200,2147
0402,031779,C,134.78,124,1066
0402,080212,C,450.96,190,2045
0403,003480,A,320.73,15,153
0403,003480,B,343.48,47,503
0403,003480,C,382.11,4,43
0403,003480,D,758.82,106,1023
0403,01611,B,706.87,171,1545
0403,031779,A,63.14,75,784
0403,031779,B,364.71,34,336
0403,080212,B,795.70,130,1235
0403,080212,D,324.29,22,193
0404,003480,A,54.99,44,426
0404,01611,A,777.29,80,818
0404,020109,D,679.17,180,1603
0404,080212,B,384.11,106,1100
0404,080212,C,438.37,55,531
0410,003480,C,92.30,86,779
0410,003480,D,519.19,56,596
0410,020109,A,492.44,137,1475
0410,020109,C,330.05,151,1454
0410,031779,C,560.57,182,1534
0410,080212,B,358.19,140,1186
0410,080212,C,103.19,124,1301
0416,003480,A,494.66,162,1537
0416,003480,C,607.56,159,1515
0416,01611,A,48.20,156,1645
0416,020109,A,271.53,72,691
0416,020109,D,752.93,19,184
0416,031779,B,583.35,164,1564
0416,080212,A,464.66,119,1152
0427,003480,B,755.98,115,1213
0427,003480,C,366.23,24,256
0427,003480,D,384.70,63,546
0427,020109,A,755.68,101,909
0427,020109,D,678.76,194,1983
0427,080212,A,194.14,35,374
0427,080212,C,767.80,157,1628
0440,01611,A,530.03,52,476
0440,01611,B,259.30,19,161
0440,01611,C,595.01,142,1475
0440,020109,B,703.66,170,1805
0440,020109,C,871.12,122,1129
0440,031779,A,845.19,137,1418
0440,031779,B,435.14,15,153
0440,031779,D,813.46,13,110
044,003480,A,44.98,130,1257
044,003480,B,32.74,107,966
0440,080212,B,607.87,172,1527
0440,080212,C,451.75,29,263
0440,080212,D,315.12,132,1235
044,01611,A,78.09,153,1377
044,01611,C,85.05,169,1587
044,020109,A,4.08,182,1803
044,031779,A,37.97,132,1278
044,031779,B,6.02,111,1030
044,031779,C,37.15,73,678
044,080212,A,21.18,90,838
044,080212,B,66.09,83,739
0444,003480,A,687.38,166,1742
0444,003480,B,357.69,100,1056
0444,003480,C,113.98,143,1303
0444,01611,A,555.27,15,145
0444,01611,C,34.40,116,1010
0444,01611,D,94.99,155,1620
0444,020109,A,300.97,152,1514
0444,020109,C,355.41,150,1505
0444,020109,D,656.95,186,1862
0444,031779,A,147.04,72,623
0444,031779,C,753.89,173,1709
0444,080212,A,726.45,40,429
0444,080212,B,449.24,188,1856
0444,080212,D,228.78,5,50
0457,003480,C,62.90,115,966
0457,01611,A,369.39,39,368
0457,01611,C,394.94,21,186
0457,01611,D,557.83,7,70
0457,020109,B,319.05,53,561
0457,031779,B,407.55,124,1241
0458,003480,A,229.11,20,207
0458,003480,B,280.04,160,1362
0458,01611,B,767.78,12,108
0458,01611,C,159.03,63,606
0458,020109,C,428.49,170,1777
0458,020109,D,322.93,0,0
0458,080212,C,367.99,123,1201
0460,01611,C,543.57,41,378
0460,020109,C,889.32,189,1987
0460,031779,A,751.52,176,1542
0460,031779,B,532.62,29,259
0460,031779,C,688.18,9,89
0460,031779,D,120.17,97,819
046,003480,B,56.60,57,565
046,003480,D,40.11,163,1692
0460,080212,C,554.72,67,601
046,01611,B,4.08,171,1837
046,01611,C,59.90,154,1631
046,020109,A,33.53,189,1846
046,080212,B,53.54,159,1518
046,080212,D,41.10,48,505
0462,020109,A,365.88,179,1619
0462,031779,A,665.10,76,678
0462,031779,B,386.63,126,1163
0462,031779,C,390.06,81,867
0462,031779,D,625.51,62,585
0462,080212,B,644.57,183,1591
0462,080212,C,862.43,160,1376
0479,003480,A,205.72,51,536
0479,003480,C,640.81,128,1269
0479,003480,D,332.63,115,1073
0479,01611,A,480.90,150,1568
0479,020109,A,766.28,48,416
0479,020109,B,415.62,70,714
0479,080212,B,563.56,150,1614
0479,080212,D,368.48,129,1340
0488,003480,A,267.33,154,1302
0488,003480,D,664.44,200,1887
0488,01611,C,11.64,83,738
0488,01611,D,67.37,26,244
0488,020109,B,853.17,44,429
0488,020109,C,441.43,73,679
0489,003480,C,850.70,156,1369
0489,003480,D,342.84,73,728
0489,020109,B,740.93,196,1862
0489,020109,C,277.45,32,319
0489,031779,A,976.88,187,1724
0489,031779,D,824.13,46,464
0489,080212,B,853.74,104,1114
0490,01611,B,349.23,77,670
0490,01611,C,533.56,125,1107
0490,01611,D,17.39,164,1590
0490,020109,B,80.13,181,1713
0490,020109,C,473.14,27,266
0490,080212,B,720.11,137,1357
0490,080212,C,151.46,100,1026
0501,003480,A,867.66,166,1698
0501,003480,B,478.87,0,0
0501,003480,D,669.54,57,503
0501,01611,A,937.69,133,1151
0501,020109,C,745.68,29,267
0501,031779,C,904.34,119,1215
0501,080212,B,266.85,15,153
0503,003480,A,19.27,104,1056
0503,01611,B,46.98,113,1020
0503,020109,A,323.49,58,553
0503,020109,C,913.46,78,681
0503,031779,A,807.02,168,1771
0503,031779,B,791.56,45,477
0503,031779,D,670.06,78,816
0506,003480,A,655.07,22,227
0506,003480,B,332.00,84,871
0506,003480,D,48.86,140,1415
0506,01611,A,291.11,62,614
0506,031779,A,851.09,151,1522
0506,031779,B,250.67,148,1587
0506,080212,B,331.30,32,308
0509,003480,A,914.23,169,1425
0509,003480,C,542.92,187,1730
0509,003480,D,782.87,124,1189
0509,031779,C,753.94,12,108
0509,080212,A,487.34,41,351
0509,080212,B,551.62,130,1309
0509,080212,C,123.11,104,879
0512,003480,A,414.98,140,1210
0512,003480,B,456.76,62,642
0512,003480,C,717.61,71,635
0512,003480,D,905.94,12,129
0512,01611,A,828.67,84,731
0512,01611,C,534.99,131,1124
0514,003480,A,114.78,197,1967
0514,003480,C,806.12,160,1449
0514,01611,A,720.85,148,1400
0514,020109,B,539.51,43,459
0514,031779,A,1007.45,102,989
0514,080212,A,157.42,83,750
0514,080212,C,179.35,34,364
0523,003480,B,488.28,178,1620
0523,003480,C,120.88,134,1382
0523,020109,A,481.40,117,1240
0523,031779,B,36.62,66,636
0523,080212,A,141.68,59,555
0523,080212,D,904.15,109,1126
0530,01611,B,131.02,110,1129
0530,01611,C,601.25,143,1501
0530,020109,B,530.27,21,215
0530,020109,C,1053.79,39,373
0530,020109,D,751.25,27,263
0530,031779,A,96.89,10,89
053,003480,B,97.83,10,100
053,003480,D,72.52,161,1491
0530,080212,B,350.77,82,717
053,01611,B,97.70,159,1567
053,01611,C,97.39,176,1582
053,020109,A,26.31,94,872
053,020109,B,48.07,170,1572
053,031779,B,7.77,32,336
053,080212,B,22.14,40,406
0534,003480,B,95.08,199,1844
0534,003480,D,1043.42,1,9
0534,01611,B,750.60,12,120
0534,080212,A,866.88,10,98
0536,003480,B,380.35,177,1540
0536,003480,C,383.49,8,67
0536,01611,A,68.21,64,680
0536,01611,B,954.33,60,581
0536,020109,B,597.38,197,1976
0536,020109,C,820.72,146,1409
0536,080212,C,855.30,166,1565
0539,003480,A,551.15,163,1566
0539,003480,C,489.01,7,61
0539,01611,A,212.24,66,567
0539,020109,B,794.83,140,1381
0539,020109,D,507.99,125,1319
0539,031779,A,904.11,113,1197
0539,080212,A,762.58,38,380
0542,003480,C,367.87,81,800
0542,020109,B,1077.37,4,42
0542,031779,A,201.60,138,1250
0542,031779,B,722.51,74,659
0542,031779,C,296.47,39,397
0542,031779,D,932.50,59,523
0542,080212,B,623.91,152,1589
055,003480,B,103.46,152,1551
055,01611,A,24.92,86,880
055,01611,B,87.36,171,1455
055,01611,D,38.98,146,1411
055,020109,A,68.35,92,941
055,020109,C,96.91,168,1638
055,080212,B,43.94,20,198
055,080212,C,87.59,126,1080
0560,003480,C,920.87,94,916
0560,01611,A,442.64,110,1109
0560,01611,D,490.14,5,53
0560,020109,C,1077.79,106,1087
0560,031779,A,1083.18,140,1333
0560,031779,C,929.38,41,373
0560,080212,C,467.64,172,1663
0563,003480,A,810.85,125,1210
0563,003480,B,806.47,81,809
0563,003480,C,439.89,73,783
0563,01611,B,1048.77,174,1519
0563,01611,C,356.15,116,1141
0563,020109,C,294.75,40,367
0563,031779,B,938.77,43,396
0571,01611,C,136.43,20,172
0571,01611,D,55.10,79,721
0571,020109,B,47.60,175,1847
0571,020109,C,1080.79,127,1273
0571,031779,A,945.95,53,463
0571,031779,B,1067.87,114,1008
0571,080212,C,165.13,141,1478
0578,003480,B,747.23,14,141
0578,003480,C,829.99,25,215
0578,01611,A,216.82,80,789
0578,020109,A,911.44,108,1153
0578,020109,D,1091.78,8,70
0578,031779,A,766.57,134,1352
0578,031779,C,884.48,131,1185
0578,031779,D,154.57,183,1930
0584,003480,B,372.79,85,781
0584,01611,B,928.71,71,656
0584,01611,C,187.47,125,1273
0584,020109,A,647.04,176,1492
0584,031779,A,1127.24,105,1009
0584,031779,B,292.00,173,1532
0584,080212,B,310.30,168,1515
0586,003480,B,1126.86,108,1061
0586,003480,C,743.16,77,771
0586,01611,B,646.90,191,2044
0586,01611,D,867.40,9,82
0586,020109,C,1098.86,4,34
0586,020109,D,162.45,189,1747
0586,031779,A,149.84,26,269
0586,031779,D,52.50,91,794
0586,080212,A,149.59,187,1987
0586,080212,B,350.68,33,280
0586,080212,C,1158.32,151,1448
0587,003480,A,46.39,165,1717
0587,003480,B,423.77,87,851
0587,003480,C,384.98,23,209
0587,01611,B,592.67,119,1038
0587,01611,C,537.23,24,214
0587,01611,D,779.41,155,1596
0587,020109,A,729.32,96,858
0587,020109,C,1141.01,45,417
0587,020109,D,747.54,149,1336
0587,031779,A,715.40,17,168
0587,031779,B,796.03,82,775
0587,031779,C,858.76,76,776
0587,031779,D,733.12,67,597
059,003480,C,32.64,57,536
059,01611,C,92.19,34,346
059,01611,D,18.37,105,950
059,020109,A,24.29,121,1054
059,020109,C,62.94,9,84
059,020109,D,87.96,34,350
059,031779,A,3.05,11,100
059,031779,D,103.60,178,1810
0593,003480,B,657.65,183,1904
0593,020109,A,803.33,173,1586
0593,020109,D,239.41,198,2027
0593,031779,B,1081.70,142,1443
0593,031779,C,541.16,8,71
0593,080212,A,159.28,172,1451
0595,003480,B,453.25,81,807
0595,003480,D,1180.73,34,362
0595,01611,A,1043.41,153,1650
0595,01611,B,417.03,153,1446
0595,01611,C,583.02,197,1660
0595,01611,D,605.43,90,816
0595,031779,B,746.69,163,1428
06,003480,A,11.08,167,1722
06,01611,A,3.91,109,999
06,01611,B,4.16,78,757
06,01611,D,3.90,20,207
06,020109,A,8.08,19,203
06,080212,A,3.29,62,596
06,080212,C,7.78,194,1808
0614,003480,B,149.28,196,2009
0614,01611,C,677.11,150,1350
0614,020109,A,299.00,117,1234
0614,020109,D,1183.56,9,84
0614,031779,A,293.90,136,1272
0614,031779,C,9.19,42,412
0614,031779,D,213.11,152,1604
0615,01611,A,575.31,115,1080
0615,01611,B,963.04,173,1530
0615,01611,C,828.72,113,1042
0615,020109,A,559.63,155,1634
0615,020109,C,976.66,113,1151
0615,020109,D,158.32,39,344
0615,080212,A,702.94,1,10
0618,003480,A,936.21,48,486
0618,003480,D,1146.49,96,921
0618,020109,A,39.13,9,77
0618,020109,B,197.45,62,641
0618,031779,A,733.69,101,1051
0618,031779,B,766.06,128,1203
0618,080212,C,991.95,151,1285
0618,080212,D,282.66,144,1423
062,003480,A,98.62,53,521
062,003480,B,50.97,39,356
062,003480,C,3.66,64,667
062,01611,A,106.24,152,1282
062,01611,C,102.97,131,1191
062,031779,A,38.95,175,1566
062,080212,B,4.53,170,1598
0623,01611,C,187.15,185,1990
0623,01611,D,1107.18,194,1847
0623,020109,B,339.86,153,1395
0623,031779,A,945.41,126,1266
0623,031779,D,465.67,85,768
0623,080212,C,394.94,45,407
0625,003480,C,1147.50,186,1676
0625,01611,A,1035.94,183,1600
0625,01611,B,815.46,120,1281
0625,020109,A,1152.02,40,352
0625,020109,B,755.05,35,338
0625,031779,A,229.03,104,919
0625,080212,C,426.04,65,668
0632,003480,B,53.44,93,854
0632,003480,C,213.99,197,2110
0632,01611,A,673.65,73,684
0632,01611,C,822.96,173,1564
0632,020109,C,1031.46,167,1467
0632,031779,C,588.41,180,1876
0632,080212,A,522.09,23,239
0633,003480,C,476.15,104,937
0633,01611,C,691.12,6,62
0633,01611,D,671.36,58,589
0633,020109,A,236.23,172,1563
0633,020109,D,15.84,166,1397
0633,031779,A,671.36,132,1141
0633,080212,B,346.38,160,1365
0635,003480,A,940.65,36,352
0635,01611,A,954.38,79,852
0635,01611,B,896.04,25,260
0635,01611,C,287.15,187,1953
0635,01611,D,54.42,164,1627
0635,020109,B,934.41,81,865
0635,031779,B,1046.55,62,540
0637,01611,A,957.35,195,2015
0637,01611,B,99.53,24,215
0637,01611,D,938.18,95,871
0637,020109,C,836.44,142,1254
0637,031779,A,330.82,21,179
0637,080212,B,571.41,69,585
0642,003480,A,21.18,151,1496
0642,01611,A,1192.32,118,1149
0642,01611,B,1056.28,40,394
0642,020109,A,921.80,183,1905
0642,020109,C,910.32,16,144
0642,031779,A,160.72,131,1300
0642,080212,C,153.32,147,1316
0644,003480,B,934.98,85,880
0644,003480,C,1280.80,79,669
0644,01611,B,771.19,75,702
0644,020109,A,5.31,173,1804
0644,020109,C,252.94,108,918
0644,080212,A,1116.05,115,1096
0644,080212,C,939.61,4,36
0649,003480,B,654.79,5,52
0649,01611,D,739.17,53,523
0649,020109,B,747.20,119,1189
0649,020109,C,46.66,130,1360
0649,031779,C,557.19,43,434
0649,031779,D,113.03,9,89
0651,003480,C,1125.07,68,591
0651,01611,C,639.65,114,1125
0651,01611,D,524.86,24,227
0651,080212,A,542.79,156,1605
0651,080212,C,818.83,25,264
0655,003480,A,682.38,180,1709
0655,01611,A,661.50,25,258
0655,01611,B,838.11,78,661
0655,020109,B,357.35,20,195
0655,020109,C,25.17,27,238
0655,031779,A,727.41,123,1278
